episode,reward,steps,outcome,timestamp
2575,-3.6069,12,fell,20:50:59
2576,11.9274,9,landed,20:51:05
2577,-3.8272,13,fell,20:51:22
2578,11.3841,16,landed,20:51:28
2579,-3.6,13,fell,20:51:44
2580,-3.9,16,fell,20:51:50
2581,-3.6381,11,fell,20:51:56
2582,11.7112,13,landed,20:52:02
2583,11.5523,13,landed,20:52:18
2584,-3.5563,12,fell,20:52:34
2585,-3.6217,12,fell,20:52:40
2586,-3.5847,10,fell,20:52:46
2587,-3.3073,9,fell,20:52:51
2588,-3.4753,11,fell,20:52:57
2589,-3.7,14,fell,20:53:03
2590,-3.6383,11,fell,20:53:09
2591,11.8527,12,landed,20:53:15
2592,11.6294,12,landed,20:53:31
2593,-3.5785,11,fell,20:53:47
2594,-3.5183,12,fell,20:53:53
2595,-3.6,13,fell,20:53:59
2596,-3.6,13,fell,20:54:05
2597,-3.8631,14,fell,20:54:12
2598,11.7247,11,landed,20:54:17
2599,11.7057,13,landed,20:54:34
2600,-3.5419,10,fell,20:54:49
2601,-3.4373,11,fell,20:54:55
2602,11.6531,13,landed,20:55:02
2603,-3.5722,12,fell,20:55:17
2604,-3.6217,12,fell,20:55:23
2605,11.695,8,landed,20:55:28
2606,-3.6,13,fell,20:55:45
2607,11.805,12,landed,20:55:51
2608,12.0142,9,landed,20:56:07
2609,11.746,13,landed,20:56:24
2610,-3.46,11,fell,20:56:39
2611,11.5701,15,landed,20:56:46
2612,-3.8664,13,fell,20:57:02
2613,-3.5,12,fell,20:57:08
2614,11.5775,12,landed,20:57:13
2615,11.7827,13,landed,20:57:30
2616,11.7132,13,landed,20:57:46
2617,-3.6,13,fell,20:58:02
2618,11.3858,17,landed,20:58:09
2619,-3.4,11,fell,20:58:24
